t,x,y,z,q_w,q_x,q_y,q_z
3.51675,0, 0, 0,0,0,0,0
3.518,0, 0, 0,0,0,0,0
3.52524,0, 0, 0,0,0,0,0
3.56709,0, 0, 0,0,0,0,0
3.5698,0, 0, 0,0,0,0,0
3.5716,0, 0, 0,0,0,0,0
3.57516,0, 0, 0,0,0,0,0
3.57695,0, 0, 0,0,0,0,0
3.58274,0, 0, 0,0,0,0,0
3.5847,0, 0, 0,0,0,0,0
3.58738,0, 0, 0,0,0,0,0
3.58903,0, 0, 0,0,0,0,0
3.59164,0, 0, 0,0,0,0,0
3.59367,0, 0, 0,0,0,0,0
3.59746,0, 0, 0,0,0,0,0
3.64715,0, 0, 0,0,0,0,0
3.64996,0, 0, 0,0,0,0,0
3.65183,0, 0, 0,0,0,0,0
3.65442,0, 0, 0,0,0,0,0
3.65839,0, 0, 0,0,0,0,0
3.66143,0, 0, 0,0,0,0,0
3.66274,0, 0, 0,0,0,0,0
3.6653,0, 0, 0,0,0,0,0
3.66725,0, 0, 0,0,0,0,0
3.66991,0, 0, 0,0,0,0,0
3.67216,0, 0, 0,0,0,0,0
3.67966,0, 0, 0,0,0,0,0
3.68094,0, 0, 0,0,0,0,0
3.68789,0, 0, 0,0,0,0,0
3.68966,0, 0, 0,0,0,0,0
3.69388,0, 0, 0,0,0,0,0
3.69516,0, 0, 0,0,0,0,0
3.70308,0, 0, 0,0,0,0,0
3.74768,0, 0, 0,0,0,0,0
3.75084,0, 0, 0,0,0,0,0
3.75207,0, 0, 0,0,0,0,0
3.75456,0, 0, 0,0,0,0,0
3.75643,0, 0, 0,0,0,0,0
3.75894,0, 0, 0,0,0,0,0
3.7608,0, 0, 0,0,0,0,0
3.76794,0, 0, 0,0,0,0,0
3.76976,0, 0, 0,0,0,0,0
3.77534,0, 0, 0,0,0,0,0
3.77642,0, 0, 0,0,0,0,0
3.78334,0, 0, 0,0,0,0,0
3.78805,0, 0, 0,0,0,0,0
3.79125,0, 0, 0,0,0,0,0
3.83572,0, 0, 0,0,0,0,0
3.84028,0, 0, 0,0,0,0,0
3.84209,0, 0, 0,0,0,0,0
3.84473,0, 0, 0,0,0,0,0
3.84657,0, 0, 0,0,0,0,0
